날짜,친환경,날짜,제로웨이스트
2020-05-30,4.88354,2020-05-30,9.89231
2020-05-31,6.13573,2020-05-31,12.59704
2020-06-01,11.36989,2020-06-01,12.64713
2020-06-02,12.99774,2020-06-02,14.4002
2020-06-03,11.69546,2020-06-03,11.59529
2020-06-04,12.22138,2020-06-04,13.12296
2020-06-05,10.69371,2020-06-05,18.50738
2020-06-06,6.03556,2020-06-06,13.34835
2020-06-07,6.51139,2020-06-07,13.49862
2020-06-08,10.69371,2020-06-08,17.33032
2020-06-09,12.14625,2020-06-09,15.10142
2020-06-10,10.36814,2020-06-10,14.1748
2020-06-11,11.3198,2020-06-11,14.8009
2020-06-12,9.61682,2020-06-12,12.32156
2020-06-13,5.23415,2020-06-13,9.46656
2020-06-14,6.01051,2020-06-14,10.36814
2020-06-15,10.36814,2020-06-15,11.77059
2020-06-16,11.64537,2020-06-16,13.02278
2020-06-17,10.99423,2020-06-17,11.89581
2020-06-18,10.76884,2020-06-18,12.17129
2020-06-19,10.39318,2020-06-19,15.05133
2020-06-20,5.68494,2020-06-20,10.26796
2020-06-21,6.76183,2020-06-21,13.34835
2020-06-22,11.16954,2020-06-22,17.07988
2020-06-23,10.56849,2020-06-23,19.45905
2020-06-24,12.42173,2020-06-24,100.0
2020-06-25,11.29476,2020-06-25,37.39043
2020-06-26,9.54169,2020-06-26,32.18131
2020-06-27,4.6331,2020-06-27,22.13874
2020-06-28,7.11244,2020-06-28,64.2875
2020-06-29,11.49511,2020-06-29,48.98572
2020-06-30,11.39494,2020-06-30,51.41497
2020-07-01,11.36989,2020-07-01,59.90483
2020-07-02,10.59353,2020-07-02,46.45629
2020-07-03,9.0909,2020-07-03,34.861
2020-07-04,4.18231,2020-07-04,35.98797
2020-07-05,5.30929,2020-07-05,33.0328
2020-07-06,11.3198,2020-07-06,27.27272
2020-07-07,11.1445,2020-07-07,23.51615
2020-07-08,10.69371,2020-07-08,23.3158
2020-07-09,11.01928,2020-07-09,18.75782
2020-07-10,8.36463,2020-07-10,16.4037
2020-07-11,4.18231,2020-07-11,10.56849
2020-07-12,4.4578,2020-07-12,13.99949
2020-07-13,10.61858,2020-07-13,22.76483
2020-07-14,9.91735,2020-07-14,16.6291
2020-07-15,11.44502,2020-07-15,25.66992
2020-07-16,9.34134,2020-07-16,34.76083
2020-07-17,8.9156,2020-07-17,25.79514
2020-07-18,4.13223,2020-07-18,37.74104
2020-07-19,4.13223,2020-07-19,42.07362
2020-07-20,8.64012,2020-07-20,26.94715
2020-07-21,9.99248,2020-07-21,34.91109
2020-07-22,9.06586,2020-07-22,25.26922
2020-07-23,8.11419,2020-07-23,18.58251
2020-07-24,7.78863,2020-07-24,17.80616
2020-07-25,3.78161,2020-07-25,15.30177
2020-07-26,3.25569,2020-07-26,14.22489
2020-07-27,7.83871,2020-07-27,17.15502
2020-07-28,10.1177,2020-07-28,17.38041
2020-07-29,8.38968,2020-07-29,17.48059
2020-07-30,8.43976,2020-07-30,16.35361
2020-07-31,7.93889,2020-07-31,15.72752
2020-08-01,3.18056,2020-08-01,10.19283
2020-08-02,3.50613,2020-08-02,12.62208
2020-08-03,6.88705,2020-08-03,17.53067
2020-08-04,9.04082,2020-08-04,20.58602
2020-08-05,7.66341,2020-08-05,15.10142
2020-08-06,9.39143,2020-08-06,19.23365
2020-08-07,8.08915,2020-08-07,14.30002
2020-08-08,4.08214,2020-08-08,15.2016
2020-08-09,4.88354,2020-08-09,18.95817
2020-08-10,9.16604,2020-08-10,21.86326
2020-08-11,8.9156,2020-08-11,23.44102
2020-08-12,9.44152,2020-08-12,22.76483
2020-08-13,9.44152,2020-08-13,16.45379
2020-08-14,6.81192,2020-08-14,17.8312
2020-08-15,3.50613,2020-08-15,13.32331
2020-08-16,3.18056,2020-08-16,17.93137
2020-08-17,5.78512,2020-08-17,21.91334
2020-08-18,8.46481,2020-08-18,20.53593
2020-08-19,8.99073,2020-08-19,20.16028
2020-08-20,8.9156,2020-08-20,22.6897
2020-08-21,7.86376,2020-08-21,26.9722
2020-08-22,4.05709,2020-08-22,19.45905
2020-08-23,4.93363,2020-08-23,21.43751
2020-08-24,9.04082,2020-08-24,28.77535
2020-08-25,10.1177,2020-08-25,27.34785
2020-08-26,9.24117,2020-08-26,27.84873
2020-08-27,10.36814,2020-08-27,33.45855
2020-08-28,9.11595,2020-08-28,26.92211
2020-08-29,5.18407,2020-08-29,19.93488
2020-08-30,5.63486,2020-08-30,21.41247
2020-08-31,9.61682,2020-08-31,27.19759
2020-09-01,10.46831,2020-09-01,26.54645
2020-09-02,10.94415,2020-09-02,27.52316
2020-09-03,11.87077,2020-09-03,31.30478
2020-09-04,10.29301,2020-09-04,25.34435
2020-09-05,5.91034,2020-09-05,22.71475
2020-09-06,6.36113,2020-09-06,29.75206
2020-09-07,11.62033,2020-09-07,34.73578
2020-09-08,11.01928,2020-09-08,29.42649
2020-09-09,12.17129,2020-09-09,27.34785
2020-09-10,11.82068,2020-09-10,24.76834
2020-09-11,10.64362,2020-09-11,28.22439
2020-09-12,6.83696,2020-09-12,20.63611
2020-09-13,7.16253,2020-09-13,24.89356
2020-09-14,11.36989,2020-09-14,29.27623
2020-09-15,11.77059,2020-09-15,27.84873
2020-09-16,12.3466,2020-09-16,26.84698
2020-09-17,11.77059,2020-09-17,25.39444
2020-09-18,11.44502,2020-09-18,23.19058
2020-09-19,5.91034,2020-09-19,16.55396
2020-09-20,6.91209,2020-09-20,19.63436
2020-09-21,12.82243,2020-09-21,24.21738
2020-09-22,12.09616,2020-09-22,25.09391
2020-09-23,11.41998,2020-09-23,25.51965
2020-09-24,13.07287,2020-09-24,22.23891
2020-09-25,10.49336,2020-09-25,20.41071
2020-09-26,5.28424,2020-09-26,16.85449
2020-09-27,6.21086,2020-09-27,19.78462
2020-09-28,10.46831,2020-09-28,25.59479
2020-09-29,8.74029,2020-09-29,23.26571
2020-09-30,4.30753,2020-09-30,14.14976
2020-10-01,4.05709,2020-10-01,12.32156
2020-10-02,4.98372,2020-10-02,18.43225
2020-10-03,6.56148,2020-10-03,17.05484
2020-10-04,7.58827,2020-10-04,19.70949
2020-10-05,11.59529,2020-10-05,22.61457
2020-10-06,14.09967,2020-10-06,26.24593
2020-10-07,10.66867,2020-10-07,25.26922
2020-10-08,11.74555,2020-10-08,20.81141
2020-10-09,6.58652,2020-10-09,22.94014
2020-10-10,6.13573,2020-10-10,15.75256
2020-10-11,8.11419,2020-10-11,19.0333
2020-10-12,12.94765,2020-10-12,26.44628
2020-10-13,12.19634,2020-10-13,27.02228
2020-10-14,12.77235,2020-10-14,21.53769
2020-10-15,13.49862,2020-10-15,23.14049
2020-10-16,10.71875,2020-10-16,22.63961
2020-10-17,5.86025,2020-10-17,16.4037
2020-10-18,6.63661,2020-10-18,19.33383
2020-10-19,12.17129,2020-10-19,23.81667
2020-10-20,13.09792,2020-10-20,26.59654
2020-10-21,14.14976,2020-10-21,22.9151
2020-10-22,13.04783,2020-10-22,24.71825
2020-10-23,11.97094,2020-10-23,21.31229
2020-10-24,5.55972,2020-10-24,18.25694
2020-10-25,7.28775,2020-10-25,22.71475
2020-10-26,13.04783,2020-10-26,24.1172
2020-10-27,11.41998,2020-10-27,22.33909
2020-10-28,12.02103,2020-10-28,25.09391
2020-10-29,13.52366,2020-10-29,25.97044
2020-10-30,11.3198,2020-10-30,22.99023
2020-10-31,6.16078,2020-10-31,19.35887
2020-11-01,8.89055,2020-11-01,21.83821
2020-11-02,12.92261,2020-11-02,24.89356
2020-11-03,12.89757,2020-11-03,22.56448
2020-11-04,14.09967,2020-11-04,24.61808
2020-11-05,15.77761,2020-11-05,25.5447
2020-11-06,13.32331,2020-11-06,25.01878
2020-11-07,8.08915,2020-11-07,20.53593
2020-11-08,9.44152,2020-11-08,23.16553
2020-11-09,15.47708,2020-11-09,29.75206
2020-11-10,17.07988,2020-11-10,31.12947
2020-11-11,16.8044,2020-11-11,26.47132
2020-11-12,15.17655,2020-11-12,24.9186
2020-11-13,12.12121,2020-11-13,23.24067
2020-11-14,6.48635,2020-11-14,19.83471
2020-11-15,8.36463,2020-11-15,19.23365
2020-11-16,14.55046,2020-11-16,24.76834
2020-11-17,14.14976,2020-11-17,25.01878
2020-11-18,14.65063,2020-11-18,33.15802
2020-11-19,13.67392,2020-11-19,38.16679
2020-11-20,13.29827,2020-11-20,24.64312
2020-11-21,7.38792,2020-11-21,33.75907
2020-11-22,7.58827,2020-11-22,24.96869
2020-11-23,12.14625,2020-11-23,25.61983
2020-11-24,14.27498,2020-11-24,24.24242
2020-11-25,12.67217,2020-11-25,27.29777
2020-11-26,12.52191,2020-11-26,26.19584
2020-11-27,11.84573,2020-11-27,28.95066
2020-11-28,7.36288,2020-11-28,21.0869
2020-11-29,7.46306,2020-11-29,21.03681
2020-11-30,12.27147,2020-11-30,24.59303
2020-12-01,11.62033,2020-12-01,26.02053
2020-12-02,11.99599,2020-12-02,24.94365
2020-12-03,11.89581,2020-12-03,23.54119
2020-12-04,11.69546,2020-12-04,22.53944
2020-12-05,5.98547,2020-12-05,16.65414
2020-12-06,7.58827,2020-12-06,22.56448
2020-12-07,11.77059,2020-12-07,28.32456
2020-12-08,12.54695,2020-12-08,25.66992
2020-12-09,13.27322,2020-12-09,26.24593
2020-12-10,13.92436,2020-12-10,25.5447
2020-12-11,12.19634,2020-12-11,31.37991
2020-12-12,6.73678,2020-12-12,18.6326
2020-12-13,6.61157,2020-12-13,20.0601
2020-12-14,12.32156,2020-12-14,25.04382
2020-12-15,12.7473,2020-12-15,26.02053
2020-12-16,11.99599,2020-12-16,23.7165
2020-12-17,12.47182,2020-12-17,25.36939
2020-12-18,11.3198,2020-12-18,27.19759
2020-12-19,5.6599,2020-12-19,29.27623
2020-12-20,6.18582,2020-12-20,33.35837
2020-12-21,11.47007,2020-12-21,46.25594
2020-12-22,11.09441,2020-12-22,33.60881
2020-12-23,10.46831,2020-12-23,31.58026
2020-12-24,8.43976,2020-12-24,26.19584
2020-12-25,4.10718,2020-12-25,18.35712
2020-12-26,4.6331,2020-12-26,19.00826
2020-12-27,5.70999,2020-12-27,23.06536
2020-12-28,10.59353,2020-12-28,26.22088
2020-12-29,10.3431,2020-12-29,25.9454
2020-12-30,10.01753,2020-12-30,24.84347
2020-12-31,7.76358,2020-12-31,22.26396
2021-01-01,3.78161,2021-01-01,18.13173
2021-01-02,4.93363,2021-01-02,19.58427
2021-01-03,5.40946,2021-01-03,21.43751
2021-01-04,11.59529,2021-01-04,24.94365
2021-01-05,12.572,2021-01-05,30.0025
2021-01-06,12.27147,2021-01-06,25.04382
2021-01-07,12.54695,2021-01-07,23.84172
2021-01-08,14.65063,2021-01-08,23.69146
2021-01-09,7.98898,2021-01-09,18.88304
2021-01-10,7.98898,2021-01-10,24.04207
2021-01-11,13.52366,2021-01-11,26.7468
2021-01-12,13.22314,2021-01-12,25.77009
2021-01-13,11.87077,2021-01-13,28.34961
2021-01-14,13.29827,2021-01-14,25.3193
2021-01-15,11.64537,2021-01-15,26.27097
2021-01-16,6.23591,2021-01-16,24.76834
2021-01-17,8.01402,2021-01-17,55.84773
2021-01-18,12.19634,2021-01-18,45.12897
2021-01-19,12.14625,2021-01-19,36.26346
2021-01-20,12.84748,2021-01-20,37.59078
2021-01-21,15.82769,2021-01-21,44.05209
2021-01-22,12.89757,2021-01-22,39.56924
2021-01-23,7.36288,2021-01-23,38.29201
2021-01-24,7.16253,2021-01-24,37.06486
2021-01-25,14.04958,2021-01-25,41.32231
2021-01-26,13.79914,2021-01-26,40.84648
2021-01-27,12.92261,2021-01-27,38.61758
2021-01-28,12.7473,2021-01-28,37.29025
2021-01-29,11.84573,2021-01-29,33.63385
2021-01-30,6.33608,2021-01-30,31.78061
2021-01-31,7.18757,2021-01-31,37.0899
2021-02-01,11.82068,2021-02-01,49.16103
2021-02-02,11.84573,2021-02-02,41.67292
2021-02-03,12.3466,2021-02-03,45.78011
2021-02-04,12.72226,2021-02-04,49.0859
2021-02-05,11.77059,2021-02-05,51.01427
2021-02-06,9.36639,2021-02-06,55.09641
2021-02-07,8.61507,2021-02-07,74.70573
2021-02-08,14.22489,2021-02-08,57.45053
2021-02-09,10.5184,2021-02-09,48.71024
2021-02-10,9.69196,2021-02-10,38.74279
2021-02-11,5.20911,2021-02-11,32.6321
2021-02-12,4.88354,2021-02-12,29.75206
2021-02-13,4.68319,2021-02-13,38.71775
2021-02-14,7.43801,2021-02-14,62.13373
2021-02-15,12.37165,2021-02-15,53.19308
